fuelType,year,VClass,highway08,fuelCost08,city08
CNG,1998,Subcompact Cars,31,1200,24.0
CNG,1999,Large Cars,19,2200,13.0
CNG,2000,Compact Cars,28,1500,19.0
CNG,2000,Subcompact Cars,31,1200,24.0
CNG,2001,Compact Cars,28,1500,19.0
CNG,2001,Compact Cars,31,1200,26.0
CNG,2002,Compact Cars,31,1200,26.0
CNG,2002,Large Cars,20,2050,14.0
CNG,2003,Compact Cars,31,1200,26.0
CNG,2004,Compact Cars,31,1200,26.0
CNG,2004,Large Cars,17,2350,12.0
CNG,2004,Standard Pickup Trucks 2WD,11,3300,9.0
CNG,2004,Standard Pickup Trucks 2WD,15,2550,11.0
CNG,2005,Standard Pickup Trucks 4WD,11,3650,8.0
CNG,2006,Subcompact Cars,36,1200,24.0
CNG,2007,Subcompact Cars,36,1200,24.0
CNG,2008,Subcompact Cars,36,1200,24.0
CNG,2009,Subcompact Cars,36,1200,24.0
CNG,2010,Subcompact Cars,36,1200,24.0
CNG,2012,Compact Cars,38,1050,27.0
Diesel,1984,Compact Cars,23,2000,21.0
Diesel,1984,Compact Cars,24,2000,21.0
Diesel,1984,Midsize Cars,26,2100,18.0
Diesel,1984,Midsize Station Wagons,31,1850,21.0
Diesel,1984,Standard Pickup Trucks 2WD,31,1550,27.0
Diesel,1984,Subcompact Cars,31,1550,27.0
Diesel,1984,Subcompact Cars,37,1250,33.0
Diesel,1985,Compact Cars,20,2350,19.0
Diesel,1985,Compact Cars,23,2100,19.0
Diesel,1985,Compact Cars,28,1850,21.0
Diesel,1985,Compact Cars,30,1650,26.0
Diesel,1985,Compact Cars,35,1450,28.0
Diesel,1985,Compact Cars,38,1300,31.0
Diesel,1985,Compact Cars,38,1350,31.0
Diesel,1985,Compact Cars,41,1250,31.0
Diesel,1985,Compact Cars,42,1250,32.0
Diesel,1985,Large Cars,26,2100,18.0
Diesel,1985,Midsize Cars,32,1700,23.0
Diesel,1985,Midsize-Large Station Wagons,20,2350,19.0
Diesel,1985,Midsize-Large Station Wagons,23,2100,19.0
Diesel,1985,Small Pickup Trucks,30,1650,26.0
Diesel,1985,Small Pickup Trucks,31,1600,27.0
Diesel,1985,Special Purpose Vehicle 2WD,22,2450,15.0
Diesel,1985,Subcompact Cars,30,1650,26.0
Diesel,1985,Subcompact Cars,35,1500,26.0
Diesel,1985,Subcompact Cars,41,1250,33.0
Diesel,1985,Vans,22,2350,17.0
Diesel,1986,Compact Cars,33,1550,26.0
Diesel,1986,Compact Cars,40,1250,31.0
Diesel,1986,Small Station Wagons,39,1300,31.0
